Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3inch 10W speaker","Speaker",1,3.00,"https://amzn.in/d/0iqkCAWk","Amazon"
"Zebronics Webcam","Camera For Vision",1,12.00,"https://amzn.in/d/0jfSYfo2","Amazon"
"8mm to 8mm Coupler","Strengthening Connections",5,12.00,"https://robokits.co.in/mechanical-parts/cnc-router-xyz-axis-part/astro-flexible-shaft-couplings/astro-8mmx8mm-aluminum-flexible-spider-plum-shaft-coupling-od25mm-x-l30mm-for-cnc-stepper-motor","Robokits India"
"L Joints","Connecting Various Parts",8,3.00,"https://robokits.co.in/robot-parts/aluminium-profile-accessories/l-shape-aluminium-clamp-with-straight-angle-for-2020-profile-moq-4pcs","Robokits India"
"6mm To 8mm Coupler","Joining motor to shaft",2,6.00,"https://amzn.in/d/0h1OxTQK","Amazon"
"Rhino Motor Mount","Motor Mount",5,6.00,"https://robokits.co.in/motors/mounting-clamps/rhino-ig32-mounting-clamp?number_of_uploads=0","Robokits India"
"Steel Rod","Base Shaft",1,4.00,"https://amzn.in/d/0eMgqfSe","Amzon"
"RPI 5MP Camera","Vision",1,5.00,"https://amzn.in/d/08fYl62g","Amazon"
"OTHER PARTS ","WIRES , TOOLS , SCREWS ETC As per need",1,50.00,"","Local Vendors"
"RPI Adapter","Powering Rasberry Pi1",1,10.00,"https://www.digikey.in/en/products/detail/raspberry-pi/SC0625/15298142?gclid=0bfee1817cd8177d9b1f887792669229&gclsrc=3p.ds&msclkid=0bfee1817cd8177d9b1f887792669229","Digikey"
"Servos Driver","Operating Servos ",1,2.29,"https://robu.in/product/16-channel-12-bit-pwmservo-driver-i2c-interface-pca9685-arduino-raspberry-pi","Robu.in"
"Servos ","20KgCM Servo ",1,14.00," https://etechrobot.com/product/ds3218-servo-motor-high-torque-20kg/","etchrobot"
"12v 25A Power Supply","Power Supply",1,7.00,"https://amzn.in/d/0aUzmqCF","Amazon"
"Encoder Joint Motor","Operating The Arm",3,58.50,"https://robokits.co.in/motors/rhino-ig32-12v-20w-dc-motors/dc-servo-encoder-12v-motor/rhino-60rpm-40kgcm-12v-dc-planetary-geared-quad-encoder-servo-motor?utm_source=chatgpt.com&number_of_uploads=0","Robokits India"
"BTS7960","Geared Motor Driver",3,9.58,"https://robu.in/product/double-bts7960-43a-h-bridge-high-power-stepper-motor-driver-module","Robu.in"
"Arduino Nano ","Servo control ",1,15.80,"https://amzn.in/d/0hf3xZE3","Amazon"
"Rasberry Pi 4B 2GB RAM","Controller Board ",1,64.99,"https://robu.in/product/raspberry-pi-4-model-b-with-2-gb-ram","Robu.in"
